month,year,day_of_year,revisit_gap_hours
2,2021,59,119.99222222222222
2,2021,59,0.0
3,2021,64,119.97444444444444
3,2021,64,0.0
3,2021,69,120.00611111111112
3,2021,69,0.0
3,2021,74,119.97166666666666
3,2021,74,0.0
3,2021,79,120.00611111111112
3,2021,79,0.0
3,2021,84,119.97722222222222
3,2021,84,0.0
3,2021,89,120.00333333333332
3,2021,89,0.0
4,2021,94,119.99666666666668
4,2021,94,0.0
4,2021,99,120.00055555555556
4,2021,99,0.0
4,2021,104,119.99944444444444
4,2021,104,0.0
4,2021,109,120.00055555555556
4,2021,109,0.0
4,2021,114,119.99666666666668
4,2021,114,0.0
4,2021,119,120.00333333333332
4,2021,119,0.0
5,2021,124,119.99944444444444
5,2021,124,0.0
5,2021,129,120.00055555555556
5,2021,129,0.0
5,2021,134,119.99944444444444
5,2021,134,0.0
5,2021,139,120.00055555555556
5,2021,139,0.0
5,2021,144,119.99944444444444
5,2021,144,0.0
5,2021,149,120.00055555555556
5,2021,149,0.0
6,2021,154,119.99944444444444
6,2021,154,0.0
6,2021,159,120.00055555555556
6,2021,159,0.0
6,2021,164,119.99944444444444
6,2021,164,0.0
6,2021,169,120.00055555555556
6,2021,169,0.0
6,2021,174,119.99944444444444
6,2021,174,0.0
6,2021,179,120.00055555555556
6,2021,179,0.0
7,2021,184,119.99944444444444
7,2021,184,0.0
7,2021,189,120.00055555555556
7,2021,189,0.0
7,2021,194,119.99944444444444
7,2021,194,0.0
7,2021,199,120.00055555555556
7,2021,199,0.0
7,2021,204,119.99944444444444
7,2021,204,0.0
7,2021,209,120.00055555555556
7,2021,209,0.0
8,2021,214,119.99944444444444
8,2021,214,0.0
8,2021,219,120.00055555555556
8,2021,219,0.0
8,2021,224,119.99944444444444
8,2021,224,0.0
8,2021,229,120.00055555555556
8,2021,229,0.0
8,2021,234,119.99944444444444
8,2021,234,0.0
8,2021,239,120.00055555555556
8,2021,239,0.0
9,2021,244,119.99944444444444
9,2021,244,0.0
9,2021,249,120.00055555555556
9,2021,249,0.0
9,2021,254,119.99944444444444
9,2021,254,0.0
9,2021,259,120.01444444444444
9,2021,259,0.0
9,2021,264,119.99388888888888
9,2021,264,0.0
9,2021,269,120.02555555555556
9,2021,269,0.0
10,2021,274,119.99388888888888
10,2021,274,0.0
10,2021,279,120.02833333333334
10,2021,279,0.0
10,2021,284,119.99111111111112
10,2021,284,0.0
11,2021,309,600.0588888888889
11,2021,309,0.0
11,2021,314,120.00777777777778
11,2021,314,0.0
11,2021,319,120.00611111111112
11,2021,319,0.0
11,2021,324,120.005
11,2021,324,0.0
11,2021,324,0.0
11,2021,324,0.0
11,2021,329,120.00611111111112
11,2021,329,0.0
11,2021,334,120.00222222222222
11,2021,334,0.0
12,2021,339,120.00611111111112
12,2021,339,0.0
12,2021,344,119.99944444444444
12,2021,344,0.0
12,2021,349,120.00333333333332
12,2021,349,0.0
12,2021,354,119.99944444444444
12,2021,354,0.0
12,2021,359,120.00333333333332
12,2021,359,0.0
12,2021,364,119.99666666666668
12,2021,364,0.0
1,2022,4,120.00055555555556
1,2022,4,0.0
1,2022,9,119.99388888888888
1,2022,9,0.0
1,2022,14,119.99777777777778
1,2022,14,0.0
1,2022,19,119.99388888888888
1,2022,19,0.0
1,2022,24,119.995
1,2022,24,0.0
1,2022,29,119.99111111111112
1,2022,29,0.0
2,2022,34,119.995
2,2022,34,0.0
2,2022,34,0.0
2,2022,34,0.0
2,2022,39,119.99111111111112
2,2022,39,0.0
2,2022,44,119.99222222222222
2,2022,44,0.0
2,2022,49,119.98833333333332
2,2022,49,0.0
2,2022,49,0.0
2,2022,49,0.0
2,2022,54,119.995
2,2022,54,0.0
2,2022,59,119.97166666666666
2,2022,59,0.0
3,2022,64,120.00888888888888
3,2022,64,0.0
3,2022,64,0.0
3,2022,64,0.0
3,2022,69,119.97166666666666
3,2022,69,0.0
3,2022,69,0.0
3,2022,69,0.0
3,2022,74,120.00611111111112
3,2022,74,0.0
3,2022,74,0.0
3,2022,74,0.0
3,2022,79,119.97444444444444
3,2022,79,0.0
3,2022,84,120.00611111111112
3,2022,84,0.0
3,2022,89,119.98555555555556
3,2022,89,0.0
3,2022,89,0.0
3,2022,89,0.0
4,2022,94,120.00055555555556
4,2022,94,0.0
4,2022,94,0.0
4,2022,94,0.0
4,2022,99,119.99944444444444
4,2022,99,0.0
4,2022,99,0.0
4,2022,99,0.0
4,2022,104,120.00055555555556
4,2022,104,0.0
4,2022,104,0.0
4,2022,104,0.0
4,2022,109,119.99944444444444
4,2022,109,0.0
4,2022,109,0.0
4,2022,109,0.0
4,2022,114,120.00333333333332
4,2022,114,0.0
4,2022,114,0.0
4,2022,114,0.0
5,2022,124,239.99722222222223
5,2022,124,0.0
5,2022,124,0.0
5,2022,124,0.0
5,2022,129,119.99944444444444
5,2022,129,0.0
5,2022,129,0.0
5,2022,129,0.0
5,2022,134,120.00055555555556
5,2022,134,0.0
5,2022,134,0.0
5,2022,134,0.0
5,2022,139,119.99944444444444
5,2022,139,0.0
5,2022,144,120.00333333333332
5,2022,144,0.0
5,2022,149,119.99666666666668
5,2022,149,0.0
5,2022,149,0.0
5,2022,149,0.0
6,2022,154,120.00333333333332
6,2022,154,0.0
6,2022,159,119.99666666666668
6,2022,159,0.0
6,2022,164,120.00333333333332
6,2022,164,0.0
6,2022,169,119.99666666666668
6,2022,169,0.0
6,2022,169,0.0
6,2022,169,0.0
6,2022,174,120.00333333333332
6,2022,174,0.0
6,2022,179,119.99944444444444
6,2022,179,0.0
6,2022,179,0.0
6,2022,179,0.0
7,2022,184,120.00055555555556
7,2022,184,0.0
7,2022,189,119.99944444444444
7,2022,189,0.0
7,2022,194,120.00055555555556
7,2022,194,0.0
7,2022,194,0.0
7,2022,194,0.0
7,2022,199,119.99944444444444
7,2022,199,0.0
7,2022,199,0.0
7,2022,199,0.0
7,2022,204,120.00055555555556
7,2022,204,0.0
7,2022,209,119.99944444444444
7,2022,209,0.0
7,2022,209,0.0
7,2022,209,0.0
8,2022,214,120.00055555555556
8,2022,214,0.0
8,2022,214,0.0
8,2022,214,0.0
8,2022,219,119.99666666666668
8,2022,219,0.0
8,2022,219,0.0
8,2022,219,0.0
8,2022,224,120.00333333333332
8,2022,224,0.0
8,2022,224,0.0
8,2022,224,0.0
8,2022,229,119.99666666666668
8,2022,229,0.0
8,2022,229,0.0
8,2022,229,0.0
8,2022,234,120.00333333333332
8,2022,234,0.0
8,2022,239,119.99666666666668
8,2022,239,0.0
8,2022,239,0.0
8,2022,239,0.0
9,2022,244,120.00333333333332
9,2022,244,0.0
9,2022,249,119.99666666666668
9,2022,249,0.0
9,2022,254,120.00611111111112
9,2022,254,0.0
9,2022,254,0.0
9,2022,254,0.0
9,2022,259,119.99388888888888
9,2022,259,0.0
9,2022,259,0.0
9,2022,259,0.0
9,2022,264,120.02555555555556
9,2022,264,0.0
9,2022,264,0.0
9,2022,264,0.0
9,2022,269,120.00777777777778
9,2022,269,0.0
10,2022,274,120.01166666666668
10,2022,274,0.0
10,2022,274,0.0
10,2022,274,0.0
10,2022,279,120.00777777777778
10,2022,279,0.0
10,2022,279,0.0
10,2022,279,0.0
10,2022,284,120.01166666666668
10,2022,284,0.0
10,2022,289,120.00777777777778
10,2022,289,0.0
10,2022,289,0.0
10,2022,289,0.0
10,2022,294,120.00888888888888
10,2022,294,0.0
10,2022,299,120.00777777777778
10,2022,299,0.0
10,2022,304,120.00888888888888
10,2022,304,0.0
11,2022,309,120.00777777777778
11,2022,309,0.0
11,2022,314,120.00888888888888
11,2022,314,0.0
11,2022,319,120.005
11,2022,319,0.0
11,2022,324,120.00611111111112
11,2022,324,0.0
11,2022,329,120.005
11,2022,329,0.0
11,2022,334,120.00611111111112
11,2022,334,0.0
12,2022,339,120.00222222222222
12,2022,339,0.0
12,2022,344,120.00333333333332
12,2022,344,0.0
12,2022,349,119.99944444444444
12,2022,349,0.0
12,2022,354,120.00333333333332
12,2022,354,0.0
12,2022,359,119.99944444444444
12,2022,359,0.0
12,2022,364,119.99777777777778
12,2022,364,0.0
1,2023,4,119.99944444444444
1,2023,4,0.0
1,2023,4,0.0
1,2023,4,0.0
1,2023,9,119.995
1,2023,9,0.0
1,2023,9,0.0
1,2023,9,0.0
1,2023,14,119.99666666666668
1,2023,14,0.0
1,2023,14,0.0
1,2023,14,0.0
1,2023,19,119.995
1,2023,19,0.0
1,2023,19,0.0
1,2023,19,0.0
1,2023,24,119.99388888888888
1,2023,24,0.0
1,2023,24,0.0
1,2023,24,0.0
1,2023,29,119.995
1,2023,29,0.0
2,2023,34,119.99111111111112
2,2023,34,0.0
2,2023,34,0.0
2,2023,34,0.0
2,2023,39,119.99222222222222
2,2023,39,0.0
2,2023,39,0.0
2,2023,39,0.0
2,2023,44,119.99111111111112
2,2023,44,0.0
2,2023,44,0.0
2,2023,44,0.0
2,2023,49,119.99222222222222
2,2023,49,0.0
2,2023,49,0.0
2,2023,54,119.99111166666664
2,2023,54,0.0
2,2023,54,0.0
3,2023,64,239.98055527777777
3,2023,64,0.0
3,2023,64,0.0
3,2023,64,0.0
3,2023,69,119.98666638888888
3,2023,69,0.0
3,2023,69,0.0
3,2023,69,0.0
3,2023,74,119.99388888888888
3,2023,74,0.0
3,2023,74,0.0
3,2023,74,0.0
3,2023,79,119.98944444444444
3,2023,79,0.0
3,2023,84,119.97444444444444
3,2023,84,0.0
3,2023,84,0.0
3,2023,84,0.0
3,2023,89,120.00333333333332
3,2023,89,0.0
3,2023,89,0.0
3,2023,89,0.0
4,2023,94,119.99666666666668
4,2023,94,0.0
4,2023,94,0.0
4,2023,94,0.0
4,2023,99,120.00055555555556
4,2023,99,0.0
4,2023,99,0.0
4,2023,104,119.99944444444444
4,2023,104,0.0
4,2023,104,0.0
4,2023,104,0.0
4,2023,109,120.00055555555556
4,2023,109,0.0
4,2023,109,0.0
4,2023,114,119.99944444444444
4,2023,114,0.0
4,2023,114,0.0
4,2023,114,0.0
4,2023,119,120.00055555555556
4,2023,119,0.0
4,2023,119,0.0
4,2023,119,0.0
5,2023,124,119.99944444444444
5,2023,124,0.0
5,2023,129,120.00055555555556
5,2023,129,0.0
5,2023,134,119.99944444444444
5,2023,134,0.0
5,2023,139,120.00055555555556
5,2023,139,0.0
5,2023,144,120.00222222222222
5,2023,144,0.0
5,2023,144,0.0
5,2023,144,0.0
5,2023,149,119.99777777777778
5,2023,149,0.0
5,2023,149,0.0
5,2023,149,0.0
6,2023,154,120.00222222222222
6,2023,154,0.0
6,2023,154,0.0
6,2023,154,0.0
6,2023,159,119.99777777777778
6,2023,159,0.0
6,2023,159,0.0
6,2023,159,0.0
6,2023,164,120.00222222222222
6,2023,164,0.0
6,2023,164,0.0
6,2023,164,0.0
6,2023,169,120.00055555555556
6,2023,169,0.0
6,2023,174,119.99666666666668
6,2023,174,0.0
6,2023,174,0.0
6,2023,174,0.0
6,2023,179,120.00055555555556
6,2023,179,0.0
6,2023,179,0.0
6,2023,179,0.0
7,2023,184,120.00222222222222
7,2023,184,0.0
7,2023,189,119.99777777777778
7,2023,189,0.0
7,2023,189,0.0
7,2023,189,0.0
7,2023,194,120.00222222222222
7,2023,194,0.0
7,2023,194,0.0
7,2023,194,0.0
7,2023,199,119.99777777777778
7,2023,199,0.0
7,2023,199,0.0
7,2023,204,120.00222222222222
7,2023,204,0.0
7,2023,204,0.0
7,2023,204,0.0
7,2023,209,119.99777777777778
7,2023,209,0.0
7,2023,209,0.0
7,2023,209,0.0
8,2023,214,120.00222222222222
8,2023,214,0.0
8,2023,214,0.0
8,2023,214,0.0
8,2023,219,119.99777777777778
8,2023,219,0.0
8,2023,219,0.0
8,2023,219,0.0
8,2023,224,120.00222222222222
8,2023,224,0.0
8,2023,224,0.0
8,2023,224,0.0
8,2023,229,120.00055555555556
8,2023,229,0.0
8,2023,229,0.0
8,2023,229,0.0
8,2023,234,119.99944444444444
8,2023,234,0.0
8,2023,234,0.0
8,2023,234,0.0
8,2023,239,119.99777777777778
8,2023,239,0.0
8,2023,239,0.0
8,2023,239,0.0
9,2023,244,120.00222222222222
9,2023,244,0.0
9,2023,244,0.0
9,2023,244,0.0
9,2023,249,119.99777777777778
9,2023,249,0.0
9,2023,249,0.0
9,2023,249,0.0
9,2023,254,120.00222222222222
9,2023,254,0.0
9,2023,254,0.0
9,2023,254,0.0
9,2023,259,120.01166666666668
9,2023,259,0.0
9,2023,259,0.0
9,2023,259,0.0
9,2023,264,119.99388888888888
9,2023,264,0.0
9,2023,264,0.0
9,2023,264,0.0
9,2023,269,120.02555555555556
9,2023,269,0.0
10,2023,274,119.99388888888888
10,2023,274,0.0
10,2023,279,120.02555555555556
10,2023,279,0.0
10,2023,284,119.99388888888888
10,2023,284,0.0
10,2023,284,0.0
10,2023,284,0.0
10,2023,289,120.02555555555556
10,2023,289,0.0
10,2023,289,0.0
10,2023,294,120.00777777777778
10,2023,294,0.0
10,2023,299,120.00888916666666
10,2023,299,0.0
10,2023,299,0.0
10,2023,299,0.0
10,2023,304,120.0077775
10,2023,304,0.0
10,2023,304,0.0
10,2023,304,0.0
11,2023,309,120.00888888888888
11,2023,309,0.0
11,2023,309,0.0
11,2023,309,0.0
11,2023,314,120.00777777777778
11,2023,314,0.0
11,2023,314,0.0
11,2023,314,0.0
11,2023,319,120.00611111111112
11,2023,319,0.0
11,2023,324,120.005
11,2023,324,0.0
11,2023,324,0.0
11,2023,324,0.0
11,2023,329,120.00333333333332
11,2023,329,0.0
11,2023,334,120.005
11,2023,334,0.0
11,2023,334,0.0
12,2023,339,120.00333333333332
12,2023,339,0.0
12,2023,339,0.0
12,2023,339,0.0
12,2023,344,120.005
12,2023,344,0.0
12,2023,344,0.0
12,2023,349,120.00055555555556
12,2023,349,0.0
12,2023,354,120.00222222222222
12,2023,354,0.0
12,2023,359,120.00055555555556
12,2023,359,0.0
12,2023,364,119.99944444444444
12,2023,364,0.0
1,2024,4,119.995
1,2024,4,0.0
1,2024,9,119.99944444444444
1,2024,9,0.0
1,2024,14,119.995
1,2024,14,0.0
1,2024,19,119.99666666666668
1,2024,19,0.0
1,2024,24,119.99222222222222
1,2024,24,0.0
1,2024,29,119.99388888888888
1,2024,29,0.0
2,2024,34,119.99222222222222
2,2024,34,0.0
2,2024,39,119.99388888888888
2,2024,39,0.0
2,2024,44,119.98944444444444
2,2024,44,0.0
2,2024,49,119.99111111111112
2,2024,49,0.0
2,2024,54,119.99222222222222
2,2024,54,0.0
2,2024,59,119.97444444444444
2,2024,59,0.0
3,2024,64,120.00611111111112
3,2024,64,0.0
3,2024,69,119.97166666666666
3,2024,69,0.0
3,2024,74,120.00888888888888
3,2024,74,0.0
3,2024,79,119.97166666666666
3,2024,79,0.0
3,2024,84,120.00611111111112
3,2024,84,0.0
3,2024,89,119.98555555555556
3,2024,89,0.0
4,2024,94,120.00055555555556
